source,target,weight
"Collingswood, C. S.","Garrison, William Lloyd",1
"Collins, Eunice Messenger.","Chapman, Maria Weston",1
"Collins, John A.","Chapman, Maria Weston",8
"Collins, John A.","Garrison, William Lloyd",7
"Collins, John A.","May, Samuel",5
"Collins, John A.","Weston, Anne Warren",2
"Collins, John A.","Weston, Caroline",1
"Colman, Mary H.","Weston, Deborah",1
"Colthurst, John Bowen.","Garrison, William Lloyd",1
"Conway, M. F.","Garrison, William Lloyd",2
"Conway, Moncure Daniel","Garrison, William Lloyd",2
"Cookman, George G.","Coffin, Joshua",1
"Cooley, Aaron.","Garrison, William Lloyd",2
"Coombs, Edwin.","Garrison, William Lloyd",1
"Cooper, Joseph","Garrison, William Lloyd",5
"Coulter, J. H.","Garrison, William Lloyd",1
"Cowen, Joseph","Garrison, William Lloyd",1
"Cowing, Lucretia Ann","Weston, Anne Warren",1
"Cowing, Lucretia Ann","Weston, Caroline",2
"Cowing, Lucretia Ann","Weston, Deborah",3
"Cowings, Benjamin.","Garrison, William Lloyd",1
"Cox, Hannah Pierce","Garrison, William Lloyd",3
"Cox, Lydia Elizabeth","Garrison, William Lloyd",2
"Cox, Samuel H.","Douglass, Frederick",1
"Craft, William","May, Samuel",1
"Craft, William.","May, Samuel",1
"Crandal, William L.","Garrison, William Lloyd",3
"Crocker, Lucretia","Garrison, William Lloyd",1
"Cropper, Anne.","Chapman, Maria Weston",2
"Cropper, James","Stuart, Charles",1
"Crosfield, Eliza W.","Garrison, William Lloyd",3
"Crosfield, William.","Garrison, William Lloyd",3
"Crowl, Lyman.","Garrison, William Lloyd",1
"Crummell, Alexander","Reason, Charles L.",1
"Cummings, Amos.","Chapman, Maria Weston",1
"Cummins, Jos.","Chapman, Maria Weston",1
"Curtis, George William","Garrison, William Lloyd",1
"Curtis, Marian A.","Garrison, William Lloyd",1
"Curtis, Thomas.","Garrison, William Lloyd",1
"Cushing, Caleb","Garrison, William Lloyd",1
"Cutler, John B.","Garrison, William Lloyd",1
"Dana, Jonathan W.","Garrison, William Lloyd",1
"Danforth, C. B.","Garrison, William Lloyd",1
"Danielson, Joseph.","Garrison, William Lloyd",1
"Davies, Ebenezer","Garrison, William Lloyd",2
"Davis, Andrew Jackson","Garrison, William Lloyd",1
"Davis, Catherine DeWolf Dodge","Garrison, William Lloyd",1
"Davis, Charlotte.","Garrison, William Lloyd",1
"Davis, Edward Morris","Chapman, Maria Weston",28
"Davis, Edward Morris","Garrison, William Lloyd",7
"Davis, Edward Morris","Mott, James",1
"Davis, Edward Morris","Weston, Anne Warren",4
"Davis, James C.","May, Samuel",1
"Davis, Paulina W.","Chapman, Maria Weston",2
"Davis, Paulina W.","Garrison, William Lloyd",1
"Davis, Thomas","Garrison, William Lloyd",1
"Davison, Henry W.","Garrison, William Lloyd",1
"De Charms, Richard","Swedenborg, Emanuel",1
"DeGraw, Mary.","Garrison, William Lloyd",1
"Deland, W. L.","Chapman, Maria Weston",1
"Delany, Martin Robison","Garrison, William Lloyd",1
"Denison, Charles Wheeler","Chapman, Maria Weston",1
"Denison, Charles Wheeler","Denison, Charles Wheeler",1
"Denison, Charles Wheeler","Garrison, William Lloyd",7
"Dennis, Rodney.","Garrison, William Lloyd",1
"Denton, Elizabeth M. Foote.","Garrison, William Lloyd",1
"Dewey, Loring Daniel","Boyer, Jean Pierre",1
"Diaz, Abby Morton","Garrison, William Lloyd",1
"Dicey, Anne Greene Chapman","Garrison, William Lloyd",1
"Dick, John.","Garrison, William Lloyd",2
"Dickinson, Anna E.","Garrison, William Lloyd",2
"Dickson, Moses","Garrison, William Lloyd",1
"Dickson, William.","Garrison, William Lloyd",1
"Digby, J.","Garrison, William Lloyd",1
"Diggs, B. F.","Garrison, William Lloyd",1
"Dodge, J. C.","Garrison, William Lloyd",1
"Donaldson, Christian.","Garrison, William Lloyd",4
"Donaldson, Thomas.","Garrison, William Lloyd",1
"Doolittle, Alvan.","Garrison, William Lloyd",1
"Dorval, T. F. Dorvelas.","Garrison, William Lloyd",1
"Doughty, George.","Doughty, George.",1
"Doughty, George.","Garrison, William Lloyd",1
"Douglass, Frederick","Chapman, Maria Weston",4
"Douglass, Frederick","Garrison, William Lloyd",3
"Douglass, Frederick","Mallory, S. V. R.",1
"Douglass, Frederick","Weston, Anne Warren",1
"Dow, Frederick Neal","Garrison, William Lloyd",1
"Dow, Neal","Garrison, William Lloyd",7
"Downes, B. R.","Garrison, William Lloyd",1
"Downie, William.","Garrison, William Lloyd",1
"Downing, George T.","Garrison, William Lloyd",3
"Doy, John","May, Samuel",1
"Drake, Frances H.","Chapman, Maria Weston",10
"Drake, Frances H.","Garrison, William Lloyd",2
"Drake, Frances H.","Weston, Anne Warren",2
"Drake, Horatio N.","Garrison, William Lloyd",1
"Drake, Jonathan.","Chapman, Maria Weston",1
"Drew, Thomas.","Garrison, William Lloyd",2
"Drummond, James.","Garrison, William Lloyd",1
"Dubouchage, Gabriel",Dubouchage,1
"Dugdale, Joseph A.","Garrison, William Lloyd",9
"Dugdale, Ruth.","Garrison, William Lloyd",1
"Dumont, A.","Garrison, William Lloyd",1
"Dunlop, John.","Garrison, William Lloyd",1
"Dutton, David","Garrison, William Lloyd",1
"Dwarris, Fortunatus","Goulburn, Henry",1
"Dyer, Samuel.","Garrison, William Lloyd",1
"Earle, Lucy.","Chapman, Maria Weston",4
"Earle, Lucy.","Weston, Anne Warren",1
"Earle, Sarah Hussey","Chapman, Maria Weston",5
"Earle, Sarah Hussey","May, Sarah Russell",1
"Earle, Sarah Hussey","Weston, Anne Warren",1
"Earle, Thomas","Weston, Anne Warren",2
"Eastman, Samuel B.","Garrison, William Lloyd",1
"Eastman, Zebina","Garrison, William Lloyd",1
"Eddison, Eliza.","Chapman, Maria Weston",1
"Eddy, Eliza Frances Jackson Meriam","Garrison, William Lloyd",1
"Eddy, Mary B.","Weston, Anne Warren",1
"Eddy, Mary C.","Weston, Deborah",1
"Eddy, W.","Chapman, Maria Weston",1
"Eddy, W.","Weston, Anne Warren",1
"Edmond, Robert.","Garrison, William Lloyd",1
"Eliot, William Greenleaf","Garrison, William Lloyd",2
Elizabeth.,"Weston, Anne Warren",1
"Elmy, Benjamin Wolstenholme.","Garrison, William Lloyd",1
"Emerson, Gertrude F.","Weston, Deborah",1
"Emerson, John F.","Weston, Deborah",4
"Emerson, John.","Garrison, William Lloyd",1
"Emerson, Lidian Jackson","Garrison, William Lloyd",3
"Emerson, Ralph Waldo","Buckley, Arthur",1
"Endicott, William","Garrison, William Lloyd",3
"Ernst, A. H.","Garrison, William Lloyd",1
"Ernst, Sarah Otis","Garrison, William Lloyd",1
"Estcourt, John H.","Garrison, William Lloyd",1
"Estlin, J. B.","Chapman, Maria Weston",16
"Estlin, J. B.","Estlin, J. B.",1
"Estlin, J. B.","Estlin, Mary Anne",1
"Estlin, J. B.","Garrison, William Lloyd",3
"Estlin, J. B.","May, Samuel",40
"Estlin, J. B.",Weston,1
"Estlin, J. B.","Weston, Anne Warren",6
"Estlin, J. B.","Weston, Caroline",13
"Estlin, J. B.","Weston, Emma Forbes",7
"Estlin, Mary Anne","Chapman, Maria Weston",43
"Estlin, Mary Anne","Estlin, J. B.",1
"Estlin, Mary Anne","Garrison, William Lloyd",25
