commodity,measure,year,price
lentils,boisseau,1620,15
rapeseed,boisseau,1620,26
Dijon best wine,queue,1620,900
village best wine,queue,1620,600
village good wine,queue,1620,480
walnut oil,pint,1620,16
rapeseed oil,pint,1620,13
hempseed oil,pint,1620,12
wax,pound,1620,17
chickpeas,boisseau,1620,12
best wheat,quarteranche,1621,26
good wheat,quarteranche,1621,23
mixed grain,quarteranche,1621,18
rye,quarteranche,1621,15
barley,boisseau,1621,11
oats,boisseau,1621,8
hempseed,boisseau,1621,14
peas,boisseau,1621,19
beans,boisseau,1621,16
lentils,boisseau,1621,15
rapeseed,boisseau,1621,28
Dijon best wine,queue,1621,600
village best wine,queue,1621,400
village good wine,queue,1621,320
walnut oil,pint,1621,16
rapeseed oil,pint,1621,12
hempseed oil,pint,1621,12
